"Thời gian trong ngày (Múi giờ của tài khoản quảng cáo)",Ngày,"Số lần hiển thị","Số tiền đã chi tiêu (VND)","Số lần nhấp (Tất cả)","Lượt tương tác với bài viết","Lượt phát video","Bắt đầu báo cáo","Kết thúc báo cáo"
"00:00:00 - 00:59:59",2019-11-10,49,10254,1,5,,2019-11-10,2019-11-10
"06:00:00 - 06:59:59",2019-11-10,62,8108,1,6,,2019-11-10,2019-11-10
"17:00:00 - 17:59:59",2019-11-10,78,20622,6,19,,2019-11-10,2019-11-10
"14:00:00 - 14:59:59",2019-11-10,124,74648,9,18,,2019-11-10,2019-11-10
"11:00:00 - 11:59:59",2019-11-10,173,26581,1,15,,2019-11-10,2019-11-10
"16:00:00 - 16:59:59",2019-11-10,97,12671,5,9,,2019-11-10,2019-11-10
"15:00:00 - 15:59:59",2019-11-10,119,34887,1,12,,2019-11-10,2019-11-10
"08:00:00 - 08:59:59",2019-11-10,82,12857,6,13,,2019-11-10,2019-11-10
"07:00:00 - 07:59:59",2019-11-10,93,13963,1,12,,2019-11-10,2019-11-10
"12:00:00 - 12:59:59",2019-11-10,200,43970,7,15,,2019-11-10,2019-11-10
"10:00:00 - 10:59:59",2019-11-10,137,20764,2,13,,2019-11-10,2019-11-10
"13:00:00 - 13:59:59",2019-11-10,121,23344,2,19,,2019-11-10,2019-11-10
"01:00:00 - 01:59:59",2019-11-10,63,13127,1,8,,2019-11-10,2019-11-10
"05:00:00 - 05:59:59",2019-11-10,40,8550,1,6,,2019-11-10,2019-11-10
"03:00:00 - 03:59:59",2019-11-10,20,3135,0,3,,2019-11-10,2019-11-10
"04:00:00 - 04:59:59",2019-11-10,18,1998,0,2,,2019-11-10,2019-11-10
"02:00:00 - 02:59:59",2019-11-10,36,5614,1,4,,2019-11-10,2019-11-10
"09:00:00 - 09:59:59",2019-11-10,121,16409,2,17,,2019-11-10,2019-11-10
"22:00:00 - 22:59:59",2019-11-09,208,29520,3,22,,2019-11-09,2019-11-09
"15:00:00 - 15:59:59",2019-11-09,149,27646,5,18,,2019-11-09,2019-11-09
"17:00:00 - 17:59:59",2019-11-09,161,28252,5,20,,2019-11-09,2019-11-09
"20:00:00 - 20:59:59",2019-11-09,185,27192,7,31,,2019-11-09,2019-11-09
"21:00:00 - 21:59:59",2019-11-09,203,36015,8,37,,2019-11-09,2019-11-09
"23:00:00 - 23:59:59",2019-11-09,101,7249,1,11,,2019-11-09,2019-11-09
"19:00:00 - 19:59:59",2019-11-09,205,34813,10,25,,2019-11-09,2019-11-09
"01:00:00 - 01:59:59",2019-11-09,70,9739,2,14,,2019-11-09,2019-11-09
"07:00:00 - 07:59:59",2019-11-09,89,9365,7,13,,2019-11-09,2019-11-09
"13:00:00 - 13:59:59",2019-11-09,184,27574,3,22,,2019-11-09,2019-11-09
"12:00:00 - 12:59:59",2019-11-09,249,33658,8,19,,2019-11-09,2019-11-09
"10:00:00 - 10:59:59",2019-11-09,135,13773,5,12,,2019-11-09,2019-11-09
"16:00:00 - 16:59:59",2019-11-09,162,29040,3,16,,2019-11-09,2019-11-09
"06:00:00 - 06:59:59",2019-11-09,88,12878,2,20,,2019-11-09,2019-11-09
"00:00:00 - 00:59:59",2019-11-09,34,2361,1,4,,2019-11-09,2019-11-09
"02:00:00 - 02:59:59",2019-11-09,26,3235,1,3,,2019-11-09,2019-11-09
"05:00:00 - 05:59:59",2019-11-09,40,3492,0,5,,2019-11-09,2019-11-09
"04:00:00 - 04:59:59",2019-11-09,28,3314,1,7,,2019-11-09,2019-11-09
"03:00:00 - 03:59:59",2019-11-09,26,2546,0,2,,2019-11-09,2019-11-09
"08:00:00 - 08:59:59",2019-11-09,96,13675,2,10,,2019-11-09,2019-11-09
"09:00:00 - 09:59:59",2019-11-09,55,12770,1,9,,2019-11-09,2019-11-09
"11:00:00 - 11:59:59",2019-11-09,267,27618,1,23,,2019-11-09,2019-11-09
"14:00:00 - 14:59:59",2019-11-09,158,29879,1,15,,2019-11-09,2019-11-09
"18:00:00 - 18:59:59",2019-11-09,178,26391,3,15,,2019-11-09,2019-11-09
"14:00:00 - 14:59:59",2019-11-08,111,18656,5,12,,2019-11-08,2019-11-08
"10:00:00 - 10:59:59",2019-11-08,236,23261,6,26,,2019-11-08,2019-11-08
"20:00:00 - 20:59:59",2019-11-08,199,18447,12,28,,2019-11-08,2019-11-08
"15:00:00 - 15:59:59",2019-11-08,136,79749,10,23,,2019-11-08,2019-11-08
"08:00:00 - 08:59:59",2019-11-08,97,8730,9,14,,2019-11-08,2019-11-08
"23:00:00 - 23:59:59",2019-11-08,182,17964,6,21,,2019-11-08,2019-11-08
"22:00:00 - 22:59:59",2019-11-08,250,21105,4,26,,2019-11-08,2019-11-08
"21:00:00 - 21:59:59",2019-11-08,222,26810,4,21,,2019-11-08,2019-11-08
"16:00:00 - 16:59:59",2019-11-08,140,13922,7,23,,2019-11-08,2019-11-08
"19:00:00 - 19:59:59",2019-11-08,127,15153,3,9,,2019-11-08,2019-11-08
"18:00:00 - 18:59:59",2019-11-08,132,13801,3,11,,2019-11-08,2019-11-08
"12:00:00 - 12:59:59",2019-11-08,152,17803,3,13,,2019-11-08,2019-11-08
"17:00:00 - 17:59:59",2019-11-08,153,25774,5,21,,2019-11-08,2019-11-08
"13:00:00 - 13:59:59",2019-11-08,237,24548,3,19,,2019-11-08,2019-11-08
"11:00:00 - 11:59:59",2019-11-08,271,27192,8,30,,2019-11-08,2019-11-08
"09:00:00 - 09:59:59",2019-11-08,276,28066,11,37,,2019-11-08,2019-11-08
"06:00:00 - 06:59:59",2019-10-14,262,21876,24,64,,2019-10-14,2019-10-14
"07:00:00 - 07:59:59",2019-10-14,418,38331,17,102,,2019-10-14,2019-10-14
"03:00:00 - 03:59:59",2019-10-14,25,2989,3,8,,2019-10-14,2019-10-14
"08:00:00 - 08:59:59",2019-10-14,105,8274,9,30,,2019-10-14,2019-10-14
"02:00:00 - 02:59:59",2019-10-14,11,611,0,1,,2019-10-14,2019-10-14
"01:00:00 - 01:59:59",2019-10-14,53,3089,8,11,,2019-10-14,2019-10-14
"05:00:00 - 05:59:59",2019-10-14,70,6362,2,10,,2019-10-14,2019-10-14
"04:00:00 - 04:59:59",2019-10-14,38,4733,1,8,,2019-10-14,2019-10-14
"00:00:00 - 00:59:59",2019-10-14,82,7375,3,16,,2019-10-14,2019-10-14
"00:00:00 - 00:59:59",2019-10-13,354,25036,22,65,,2019-10-13,2019-10-13
"10:00:00 - 10:59:59",2019-10-13,391,30767,34,81,,2019-10-13,2019-10-13
"19:00:00 - 19:59:59",2019-10-13,337,27875,12,60,,2019-10-13,2019-10-13
"18:00:00 - 18:59:59",2019-10-13,237,20268,17,50,,2019-10-13,2019-10-13
"09:00:00 - 09:59:59",2019-10-13,395,29494,28,78,,2019-10-13,2019-10-13
"06:00:00 - 06:59:59",2019-10-13,191,14805,13,48,,2019-10-13,2019-10-13
"15:00:00 - 15:59:59",2019-10-13,254,18844,18,52,,2019-10-13,2019-10-13
"14:00:00 - 14:59:59",2019-10-13,332,25200,13,63,,2019-10-13,2019-10-13
"13:00:00 - 13:59:59",2019-10-13,360,26784,14,70,,2019-10-13,2019-10-13
"08:00:00 - 08:59:59",2019-10-13,378,23844,18,63,,2019-10-13,2019-10-13
