Date,Close,
07/02/2020,27100,
06/02/2020,27750,
05/02/2020,26550,
04/02/2020,26900,
03/02/2020,25150,
31/01/2020,24400,
30/01/2020,24350,
22/01/2020,25600,
21/01/2020,25300,
20/01/2020,25100,
17/01/2020,24950,
16/01/2020,24900,
15/01/2020,23600,
14/01/2020,23500,
13/01/2020,23200,
10/01/2020,23550,
09/01/2020,22450,
08/01/2020,21650,
07/01/2020,21700,
06/01/2020,21350,
03/01/2020,21300,
02/01/2020,21500,
31/12/2019,20900,
30/12/2019,21050,
27/12/2019,20650,
26/12/2019,20600,
25/12/2019,20600,
24/12/2019,20600,
23/12/2019,20550,
20/12/2019,20350,
19/12/2019,20150,
18/12/2019,20150,
17/12/2019,20250,
16/12/2019,20300,
13/12/2019,20600,
12/12/2019,20150,
11/12/2019,19850,
10/12/2019,20050,
09/12/2019,20150,
06/12/2019,20300,
05/12/2019,20100,
04/12/2019,20450,
03/12/2019,19600,
02/12/2019,19800,
29/11/2019,20450,
28/11/2019,20450,
27/11/2019,21050,
26/11/2019,21200,
25/11/2019,21150,
22/11/2019,21100,
21/11/2019,21300,
20/11/2019,21300,
19/11/2019,21500,
18/11/2019,21400,
15/11/2019,21700,
14/11/2019,21600,
13/11/2019,21850,
12/11/2019,22000,
11/11/2019,21950,
08/11/2019,22300,
07/11/2019,22250,
06/11/2019,22300,
05/11/2019,22400,
04/11/2019,22450,
01/11/2019,22300,
31/10/2019,22000,
30/10/2019,22150,
29/10/2019,22050,
28/10/2019,22000,
25/10/2019,22000,
24/10/2019,21500,
23/10/2019,21450,
22/10/2019,21600,
21/10/2019,21250,
18/10/2019,21600,
17/10/2019,21900,
16/10/2019,21900,
15/10/2019,21700,
14/10/2019,21700,
11/10/2019,21150,
10/10/2019,21150,
09/10/2019,21300,
08/10/2019,20750,
07/10/2019,20550,
04/10/2019,20600,
03/10/2019,21000,
02/10/2019,21000,
01/10/2019,21300,
30/09/2019,21150,
27/09/2019,21150,
26/09/2019,21150,
25/09/2019,20800,
24/09/2019,20750,
23/09/2019,21000,
20/09/2019,21100,
19/09/2019,21250,
18/09/2019,20800,
17/09/2019,20750,
16/09/2019,20750,
13/09/2019,20850,
12/09/2019,20150,
11/09/2019,19800,
10/09/2019,19750,
09/09/2019,19950,
06/09/2019,19900,
05/09/2019,19950,
04/09/2019,20000,
03/09/2019,19950,
30/08/2019,20200,
29/08/2019,20200,
28/08/2019,20250,
27/08/2019,20300,
26/08/2019,20300,
23/08/2019,20500,
22/08/2019,20600,
21/08/2019,20750,
20/08/2019,20600,
19/08/2019,20500,
16/08/2019,20500,
15/08/2019,20400,
14/08/2019,20500,
13/08/2019,20600,
12/08/2019,20350,
09/08/2019,20500,
08/08/2019,20450,
07/08/2019,20200,
06/08/2019,20200,
05/08/2019,20350,
02/08/2019,20350,
01/08/2019,20400,
31/07/2019,20750,
30/07/2019,20700,
29/07/2019,20900,
26/07/2019,21200,
25/07/2019,21250,
24/07/2019,21250,
23/07/2019,21650,
22/07/2019,21600,
19/07/2019,21850,
18/07/2019,21650,
17/07/2019,21900,
16/07/2019,21700,
15/07/2019,21500,
12/07/2019,21450,
11/07/2019,21550,
10/07/2019,21000,
09/07/2019,20950,
08/07/2019,20900,
05/07/2019,21150,
04/07/2019,21150,
03/07/2019,21050,
02/07/2019,20800,
01/07/2019,20850,
28/06/2019,19500,
27/06/2019,20650,
26/06/2019,20900,
25/06/2019,21050,
24/06/2019,21400,
21/06/2019,21400,
20/06/2019,21000,
19/06/2019,20250,
18/06/2019,20250,
17/06/2019,20450,
14/06/2019,20300,
13/06/2019,20150,
12/06/2019,20250,
11/06/2019,20500,
10/06/2019,20500,
07/06/2019,20450,
06/06/2019,20300,
05/06/2019,20100,
04/06/2019,20000,
03/06/2019,19900,
31/05/2019,20300,
30/05/2019,20650,
29/05/2019,20650,
28/05/2019,21000,
27/05/2019,21200,
24/05/2019,21200,
23/05/2019,21500,
22/05/2019,21550,
21/05/2019,21250,
20/05/2019,21350,
17/05/2019,21200,
16/05/2019,21100,
15/05/2019,21150,
14/05/2019,20550,
13/05/2019,20450,
10/05/2019,20300,
09/05/2019,20100,
08/05/2019,20450,
07/05/2019,20400,
06/05/2019,20450,
03/05/2019,20900,
02/05/2019,21000,
26/04/2019,21250,
25/04/2019,21050,
24/04/2019,21400,
23/04/2019,20850,
22/04/2019,20500,
19/04/2019,20800,
18/04/2019,21000,
17/04/2019,21450,
16/04/2019,21550,
12/04/2019,21850,
11/04/2019,21950,
10/04/2019,21900,
09/04/2019,22150,
08/04/2019,22300,
05/04/2019,21900,
04/04/2019,22000,
03/04/2019,21800,
02/04/2019,22000,
01/04/2019,22250,
29/03/2019,22450,
28/03/2019,22650,
27/03/2019,22500,
26/03/2019,22350,
25/03/2019,22150,
22/03/2019,22500,
21/03/2019,22100,
20/03/2019,23000,
19/03/2019,23100,
18/03/2019,23400,
15/03/2019,22700,
14/03/2019,22500,
13/03/2019,22550,
12/03/2019,22100,
11/03/2019,21100,
08/03/2019,21200,
07/03/2019,21500,
06/03/2019,21300,
05/03/2019,21250,
04/03/2019,21200,
01/03/2019,20800,
28/02/2019,20800,
27/02/2019,21150,
26/02/2019,21350,
25/02/2019,21300,
22/02/2019,21100,
21/02/2019,20400,
20/02/2019,20600,
19/02/2019,20500,
18/02/2019,20900,
15/02/2019,20800,
14/02/2019,20850,
13/02/2019,20850,
12/02/2019,20850,
11/02/2019,20700,
01/02/2019,20100,
31/01/2019,19700,
30/01/2019,20450,
29/01/2019,20750,
28/01/2019,20350,
25/01/2019,20200,
24/01/2019,20450,
23/01/2019,19950,
22/01/2019,19550,
21/01/2019,19450,
18/01/2019,18200,
17/01/2019,18450,
16/01/2019,18700,
15/01/2019,18900,
14/01/2019,18800,
11/01/2019,18800,
10/01/2019,18850,
09/01/2019,18350,
08/01/2019,17900,
07/01/2019,18150,
04/01/2019,18350,
03/01/2019,18100,
02/01/2019,19000,
28/12/2018,19300,
27/12/2018,19350,
26/12/2018,19300,
25/12/2018,19700,
24/12/2018,20350,
21/12/2018,20850,
20/12/2018,20200,
19/12/2018,20400,
18/12/2018,21450,
17/12/2018,21650,
14/12/2018,22350,
13/12/2018,23150,
12/12/2018,23500,
11/12/2018,23300,
10/12/2018,23100,
07/12/2018,24050,
06/12/2018,23950,
05/12/2018,24100,
04/12/2018,23900,
03/12/2018,24150,
30/11/2018,23000,
29/11/2018,22850,
28/11/2018,22750,
27/11/2018,22300,
26/11/2018,22500,
23/11/2018,22450,
22/11/2018,22950,
21/11/2018,23300,
20/11/2018,23200,
19/11/2018,23050,
16/11/2018,21950,
15/11/2018,21250,
14/11/2018,21200,
13/11/2018,22000,
12/11/2018,22450,
09/11/2018,22600,
08/11/2018,23200,
07/11/2018,23250,
06/11/2018,23250,
05/11/2018,23500,
02/11/2018,23500,
01/11/2018,22850,
31/10/2018,23400,
30/10/2018,22200,
29/10/2018,22100,
26/10/2018,22500,
25/10/2018,23000,
24/10/2018,23200,
23/10/2018,23650,
22/10/2018,24450,
19/10/2018,24700,
18/10/2018,24850,
17/10/2018,25300,
16/10/2018,25150,
15/10/2018,24750,
12/10/2018,25400,
11/10/2018,24600,
10/10/2018,26450,
09/10/2018,26700,
08/10/2018,26850,
05/10/2018,27100,
04/10/2018,27700,
03/10/2018,27500,
02/10/2018,27100,
01/10/2018,27050,
28/09/2018,27550,
27/09/2018,27600,
26/09/2018,27650,
25/09/2018,27800,
24/09/2018,28000,
21/09/2018,28100,
20/09/2018,27450,
19/09/2018,26800,
18/09/2018,26900,
17/09/2018,26600,
14/09/2018,26950,
13/09/2018,26650,
12/09/2018,26500,
11/09/2018,26950,
10/09/2018,26200,
07/09/2018,26500,
06/09/2018,25900,
05/09/2018,26050,
04/09/2018,25900,
31/08/2018,27150,
30/08/2018,27600,
29/08/2018,27000,
28/08/2018,27250,
27/08/2018,27200,
24/08/2018,26100,
23/08/2018,26100,
22/08/2018,26250,
21/08/2018,26500,
20/08/2018,25700,
17/08/2018,26000,
16/08/2018,26150,
15/08/2018,25200,
14/08/2018,25300,
13/08/2018,25750,
10/08/2018,24250,
09/08/2018,24050,
08/08/2018,23950,
07/08/2018,23050,
06/08/2018,22850,
03/08/2018,22850,
02/08/2018,22950,
01/08/2018,23200,
31/07/2018,23600,
30/07/2018,23850,
27/07/2018,23400,
26/07/2018,23000,
25/07/2018,22800,
24/07/2018,23550,
23/07/2018,23600,
20/07/2018,24700,
19/07/2018,24400,
18/07/2018,24900,
17/07/2018,24000,
16/07/2018,22800,
13/07/2018,22600,
12/07/2018,21800,
11/07/2018,20900,
10/07/2018,22350,
09/07/2018,22100,
06/07/2018,21900,
05/07/2018,20500,
04/07/2018,21900,
03/07/2018,21500,
02/07/2018,23100,
29/06/2018,24250,
28/06/2018,24300,
27/06/2018,25000,
26/06/2018,26000,
25/06/2018,26350,
22/06/2018,25900,
21/06/2018,25350,
20/06/2018,26150,
19/06/2018,25400,
18/06/2018,25850,
15/06/2018,27100,
14/06/2018,26800,
13/06/2018,27450,
12/06/2018,27400,
11/06/2018,28050,
08/06/2018,28550,
07/06/2018,28350,
06/06/2018,28950,
05/06/2018,28400,
05/06/2018,28400,
04/06/2018,27950,
01/06/2018,27450,
31/05/2018,27100,
30/05/2018,25650,
29/05/2018,26050,
28/05/2018,24350,
25/05/2018,26150,
24/05/2018,27350,
23/05/2018,28000,
22/05/2018,27100,
21/05/2018,28800,
18/05/2018,29450,
17/05/2018,29200,
16/05/2018,29100,
15/05/2018,29850,
14/05/2018,29500,
11/05/2018,29400,
10/05/2018,28000,
09/05/2018,30000,
08/05/2018,30400,
07/05/2018,30450,
04/05/2018,28500,
03/05/2018,29000,
02/05/2018,27250,
27/04/2018,29300,
26/04/2018,28250,
24/04/2018,30350,
23/04/2018,31200,
20/04/2018,33500,
19/04/2018,31600,
18/04/2018,33550,
17/04/2018,34800,
16/04/2018,34000,
13/04/2018,34200,
12/04/2018,35700,
11/04/2018,35700,
10/04/2018,37300,
09/04/2018,37700,
06/04/2018,35700,
05/04/2018,35600,
04/04/2018,35900,
03/04/2018,36300,
02/04/2018,36200,
30/03/2018,34600,
29/03/2018,35000,
28/03/2018,35200,
27/03/2018,35800,
26/03/2018,35800,
23/03/2018,34950,
22/03/2018,35800,
21/03/2018,36200,
20/03/2018,36000,
19/03/2018,36300,
16/03/2018,36700,
15/03/2018,36600,
14/03/2018,35550,
13/03/2018,35700,
12/03/2018,33450,
09/03/2018,32400,
08/03/2018,31700,
07/03/2018,31500,
06/03/2018,32300,
05/03/2018,30500,
02/03/2018,32700,
01/03/2018,32700,
28/02/2018,33600,
27/02/2018,32100,
26/02/2018,30700,
23/02/2018,30400,
22/02/2018,28650,
21/02/2018,27850,
13/02/2018,27200,
12/02/2018,26200,
09/02/2018,24500,
08/02/2018,24500,
07/02/2018,25750,
06/02/2018,24350,
05/02/2018,26050,
02/02/2018,28000,
01/02/2018,27250,
31/01/2018,27200,
30/01/2018,28050,
29/01/2018,28300,
26/01/2018,27300,
25/01/2018,26750,
22/01/2018,25750,
19/01/2018,25300,
18/01/2018,25500,
17/01/2018,25200,
16/01/2018,26600,
15/01/2018,26100,
12/01/2018,25600,
11/01/2018,25650,
10/01/2018,25500,
09/01/2018,25700,
08/01/2018,25700,
05/01/2018,25100,
04/01/2018,25700,
03/01/2018,24800,
02/01/2018,24950,
29/12/2017,24200,
28/12/2017,24250,
27/12/2017,23300,
26/12/2017,23150,
25/12/2017,22200,
22/12/2017,22300,
21/12/2017,22100,
20/12/2017,22450,
19/12/2017,22050,
18/12/2017,22500,
15/12/2017,21900,
14/12/2017,22000,
13/12/2017,20850,
12/12/2017,21400,
11/12/2017,21400,
08/12/2017,23000,
07/12/2017,23300,
06/12/2017,23500,
05/12/2017,23500,
04/12/2017,24250,
01/12/2017,24050,
30/11/2017,24300,
29/11/2017,24100,
28/11/2017,23100,
27/11/2017,23400,
24/11/2017,23400,
23/11/2017,23700,
22/11/2017,22650,
21/11/2017,21200,
20/11/2017,20800,
17/11/2017,20600,
16/11/2017,21000,
15/11/2017,20800,
14/11/2017,20900,
13/11/2017,20400,
10/11/2017,20400,
09/11/2017,19700,
08/11/2017,19900,
07/11/2017,19500,
06/11/2017,19400,
03/11/2017,18750,
02/11/2017,18500,
01/11/2017,18800,
31/10/2017,18750,
30/10/2017,18950,
27/10/2017,19100,
26/10/2017,18800,
25/10/2017,19100,
24/10/2017,18850,
23/10/2017,18950,
20/10/2017,19450,
19/10/2017,19500,
18/10/2017,19500,
17/10/2017,19400,
16/10/2017,19150,
13/10/2017,19000,
12/10/2017,18850,
11/10/2017,18900,
10/10/2017,19100,
09/10/2017,19200,
06/10/2017,19100,
05/10/2017,18900,
04/10/2017,18800,
03/10/2017,18400,
02/10/2017,18450,
29/09/2017,18500,
28/09/2017,18500,
27/09/2017,18800,
26/09/2017,18800,
25/09/2017,18700,
22/09/2017,18900,
21/09/2017,19100,
20/09/2017,18800,
19/09/2017,18600,
18/09/2017,18500,
15/09/2017,18000,
14/09/2017,18100,
13/09/2017,17900,
12/09/2017,18000,
11/09/2017,17900,
08/09/2017,18100,
07/09/2017,18200,
06/09/2017,18100,
05/09/2017,18200,
01/09/2017,18400,
31/08/2017,18400,
30/08/2017,17900,
29/08/2017,18000,
28/08/2017,18200,
25/08/2017,18200,
24/08/2017,18200,
23/08/2017,17600,
22/08/2017,17600,
21/08/2017,17900,
18/08/2017,17900,
17/08/2017,17900,
16/08/2017,18200,
15/08/2017,18400,
14/08/2017,18600,
11/08/2017,18300,
10/08/2017,17900,
09/08/2017,18100,
08/08/2017,19000,
07/08/2017,19300,
04/08/2017,19300,
03/08/2017,19500,
02/08/2017,19500,
01/08/2017,19300,
31/07/2017,19700,
28/07/2017,18800,
27/07/2017,18600,
26/07/2017,18800,
25/07/2017,18400,
24/07/2017,17900,
21/07/2017,17900,
20/07/2017,18300,
19/07/2017,18200,
18/07/2017,17900,
17/07/2017,18100,
14/07/2017,18700,
13/07/2017,19000,
12/07/2017,18800,
11/07/2017,18900,
10/07/2017,18900,
07/07/2017,19200,
06/07/2017,19600,
05/07/2017,19700,
04/07/2017,19700,
03/07/2017,20000,
30/06/2017,19600,
29/06/2017,19500,
28/06/2017,19500,
27/06/2017,19300,
26/06/2017,19600,
23/06/2017,19300,
22/06/2017,19300,
21/06/2017,19600,
20/06/2017,20200,
19/06/2017,20000,
16/06/2017,19700,
15/06/2017,19800,
14/06/2017,19600,
13/06/2017,19100,
12/06/2017,18800,
09/06/2017,18700,
08/06/2017,18900,
07/06/2017,19200,
06/06/2017,18500,
05/06/2017,18100,
02/06/2017,18000,
01/06/2017,18000,
31/05/2017,18100,
30/05/2017,18200,
29/05/2017,18900,
26/05/2017,18200,
25/05/2017,18200,
24/05/2017,18600,
23/05/2017,18000,
22/05/2017,18500,
19/05/2017,17500,
18/05/2017,17300,
17/05/2017,17100,
16/05/2017,17100,
15/05/2017,17400,
12/05/2017,17500,
11/05/2017,17400,
10/05/2017,17600,
09/05/2017,17300,
08/05/2017,17100,
05/05/2017,17100,
04/05/2017,17100,
03/05/2017,16800,
28/04/2017,16700,
27/04/2017,16600,
26/04/2017,16500,
25/04/2017,16400,
24/04/2017,16300,
21/04/2017,16400,
20/04/2017,16700,
19/04/2017,16600,
18/04/2017,16600,
17/04/2017,16300,
14/04/2017,16800,
13/04/2017,17100,
12/04/2017,17100,
11/04/2017,17400,
10/04/2017,17200,
07/04/2017,17300,
05/04/2017,17300,
04/04/2017,17300,
03/04/2017,17300,
31/03/2017,17400,
30/03/2017,17700,
29/03/2017,17700,
28/03/2017,17800,
27/03/2017,18100,
24/03/2017,18000,
23/03/2017,17800,
22/03/2017,17700,
21/03/2017,17800,
20/03/2017,17600,
17/03/2017,17400,
16/03/2017,17200,
15/03/2017,17100,
14/03/2017,17200,
13/03/2017,17300,
10/03/2017,17500,
09/03/2017,17700,
08/03/2017,17700,
07/03/2017,17600,
06/03/2017,17700,
03/03/2017,17600,
02/03/2017,17300,
01/03/2017,17300,
28/02/2017,17600,
27/02/2017,17600,
24/02/2017,17400,
23/02/2017,17200,
22/02/2017,17300,
21/02/2017,17600,
20/02/2017,17800,
17/02/2017,18200,
16/02/2017,18600,
15/02/2017,18600,
14/02/2017,18000,
13/02/2017,17800,
10/02/2017,17900,
09/02/2017,17400,
08/02/2017,17200,
07/02/2017,17500,
06/02/2017,17600,
03/02/2017,17800,
02/02/2017,18000,
25/01/2017,17900,
24/01/2017,17900,
23/01/2017,17600,
20/01/2017,17200,
19/01/2017,17000,
18/01/2017,16600,
17/01/2017,17000,
16/01/2017,15800,
13/01/2017,15900,
12/01/2017,16200,
11/01/2017,16300,
10/01/2017,15500,
09/01/2017,15700,
06/01/2017,15300,
05/01/2017,15100,
04/01/2017,15000,
03/01/2017,14700,
30/12/2016,13700,
29/12/2016,13600,
28/12/2016,13800,
27/12/2016,13800,
26/12/2016,13800,
23/12/2016,13800,
22/12/2016,13700,
21/12/2016,13800,
20/12/2016,13900,
19/12/2016,13900,
16/12/2016,13600,
15/12/2016,13500,
14/12/2016,13300,
13/12/2016,13200,
12/12/2016,13600,
09/12/2016,14000,
08/12/2016,14200,
07/12/2016,14300,
06/12/2016,14300,
05/12/2016,14700,
02/12/2016,14800,
01/12/2016,14800,
30/11/2016,14700,
29/11/2016,14700,
28/11/2016,14700,
25/11/2016,14900,
24/11/2016,15000,
23/11/2016,15400,
22/11/2016,15400,
21/11/2016,15200,
18/11/2016,14900,
17/11/2016,14900,
16/11/2016,15000,
15/11/2016,15100,
14/11/2016,15100,
11/11/2016,15100,
10/11/2016,15200,
