Date,Time,Close
2020/01/22,09:00:00,25600
2020/01/21,09:00:00,25300
2020/01/20,09:00:00,25100
2020/01/17,09:00:00,24950
2020/01/16,09:00:00,24900
2020/01/15,09:00:00,23600
2020/01/14,09:00:00,23500
2020/01/13,09:00:00,23200
2020/01/10,09:00:00,23550
2020/01/09,09:00:00,22450
2020/01/08,09:00:00,21650
2020/01/07,09:00:00,21700
2020/01/06,09:00:00,21350
2020/01/03,09:00:00,21300
2020/01/02,09:00:00,21500
2019/12/31,09:00:00,20900
2019/12/30,09:00:00,21050
2019/12/27,09:00:00,20650
2019/12/26,09:00:00,20600
2019/12/25,09:00:00,20600
2019/12/24,09:00:00,20600
2019/12/23,09:00:00,20550
2019/12/20,09:00:00,20350
2019/12/19,09:00:00,20150
2019/12/18,09:00:00,20150
2019/12/17,09:00:00,20250
2019/12/16,09:00:00,20300
2019/12/13,09:00:00,20600
2019/12/12,09:00:00,20150
2019/12/11,09:00:00,19850
2019/12/10,09:00:00,20050
2019/12/09,09:00:00,20150
2019/12/06,09:00:00,20300
2019/12/05,09:00:00,20100
2019/12/04,09:00:00,20450
2019/12/03,09:00:00,19600
2019/12/02,09:00:00,19800
2019/11/29,09:00:00,20450
2019/11/28,09:00:00,20450
2019/11/27,09:00:00,21050
2019/11/26,09:00:00,21200
2019/11/25,09:00:00,21150
2019/11/22,09:00:00,21100
2019/11/21,09:00:00,21300
2019/11/20,09:00:00,21300
2019/11/19,09:00:00,21500
2019/11/18,09:00:00,21400
2019/11/15,09:00:00,21700
2019/11/14,09:00:00,21600
2019/11/13,09:00:00,21850
2019/11/12,09:00:00,22000
2019/11/11,09:00:00,21950
2019/11/08,09:00:00,22300
2019/11/07,09:00:00,22250
2019/11/06,09:00:00,22300
2019/11/05,09:00:00,22400
2019/11/04,09:00:00,22450
2019/11/01,09:00:00,22300
2019/10/31,09:00:00,22000
2019/10/30,09:00:00,22150
2019/10/29,09:00:00,22050
2019/10/28,09:00:00,22000
2019/10/25,09:00:00,22000
2019/10/24,09:00:00,21500
2019/10/23,09:00:00,21450
2019/10/22,09:00:00,21600
2019/10/21,09:00:00,21250
2019/10/18,09:00:00,21600
2019/10/17,09:00:00,21900
2019/10/16,09:00:00,21900
2019/10/15,09:00:00,21700
2019/10/14,09:00:00,21700
2019/10/11,09:00:00,21150
2019/10/10,09:00:00,21150
2019/10/09,09:00:00,21300
2019/10/08,09:00:00,20750
2019/10/07,09:00:00,20550
2019/10/04,09:00:00,20600
2019/10/03,09:00:00,21000
2019/10/02,09:00:00,21000
2019/10/01,09:00:00,21300
2019/09/30,09:00:00,21150
2019/09/27,09:00:00,21150
2019/09/26,09:00:00,21150
2019/09/25,09:00:00,20800
2019/09/24,09:00:00,20750
