CustomerID,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
12346.0,325,2,0.0,4,4,4,444
12747.0,2,103,4196.009999999999,1,1,1,111
12748.0,0,4642,29072.1,1,1,1,111
12749.0,3,231,3868.2000000000007,1,1,1,111
12820.0,3,59,942.34,1,2,2,122
12821.0,214,6,92.72,4,4,4,444
12822.0,70,47,918.9800000000001,3,2,2,322
12823.0,74,5,1759.5,3,4,1,341
12824.0,59,25,397.11999999999995,3,3,3,333
12826.0,2,94,1468.1200000000001,1,2,2,122
12827.0,5,25,430.15,1,3,3,133
12828.0,2,56,1018.71,1,2,2,122
12829.0,322,12,253.05,4,4,4,444
12830.0,37,39,6748.400000000001,2,3,1,231
12831.0,262,9,215.05,4,4,4,444
12832.0,32,27,383.03000000000003,2,3,3,233
12833.0,145,24,417.38,4,3,3,433
12834.0,282,18,312.38,4,3,3,433
12836.0,59,175,2612.8599999999997,3,1,1,311
12837.0,173,12,134.1,4,4,4,444
12838.0,33,123,683.13,2,1,2,212
12839.0,2,316,5583.62,1,1,1,111
12840.0,143,116,2714.2700000000004,3,1,1,311
12841.0,4,439,3876.3999999999996,1,1,1,111
12842.0,70,34,1118.99,3,3,2,332
12843.0,65,108,1680.7600000000002,3,1,1,311
12844.0,29,52,325.96,2,2,3,223
12845.0,267,27,354.09,4,3,3,433
12847.0,22,91,871.5399999999998,2,2,2,222
12849.0,31,51,1050.8899999999999,2,2,2,222
12851.0,96,50,135.18,3,2,4,324
12852.0,290,20,299.75000000000006,4,3,3,433
12853.0,107,84,1881.7,3,2,1,321
12854.0,78,115,1289.1500000000003,3,1,2,312
12855.0,372,3,38.1,4,4,4,444
12856.0,7,317,2162.68,1,1,1,111
12857.0,210,46,1106.4,4,2,2,422
12863.0,52,6,504.20000000000005,3,4,3,343
12864.0,138,3,147.12,3,4,4,344
12867.0,26,551,3986.2200000000003,2,1,1,211
12868.0,185,107,1607.0600000000002,4,1,1,411
12870.0,366,2,-14.899999999999999,4,4,4,444
12871.0,84,11,380.64000000000004,3,4,3,343
12872.0,326,66,599.9700000000001,4,2,3,423
12873.0,282,4,374.0,4,4,3,443
12875.0,143,2,343.2300000000001,3,4,3,343
12877.0,3,154,1535.7700000000002,1,1,1,111
12878.0,18,49,841.64,2,2,2,222
12879.0,44,12,552.57,2,4,3,243
12881.0,275,7,298.0,4,4,3,443
12882.0,9,13,1463.0399999999997,1,4,2,142
12883.0,24,42,703.47,2,2,2,222
12884.0,88,7,309.05000000000007,3,4,3,343
12885.0,63,72,1158.27,3,2,2,322
12886.0,67,86,1351.09,3,2,2,322
12888.0,214,7,313.77,4,4,3,443
12890.0,24,82,380.47,2,2,3,223
12891.0,185,3,331.0,4,4,3,443
12893.0,30,34,188.14000000000001,2,3,4,234
12895.0,42,24,347.3,2,3,3,233
12897.0,204,4,216.5,4,4,4,444
12901.0,8,125,16293.1,1,1,1,111
12902.0,264,10,138.67999999999998,4,4,4,444
12904.0,18,72,509.58,2,2,3,223
12906.0,11,63,2919.81,1,2,1,121
12908.0,58,4,246.0,3,4,4,344
12909.0,39,96,2128.83,2,2,1,221
12910.0,23,75,3075.0400000000004,2,2,1,221
12912.0,2,24,1662.3,1,3,1,131
12913.0,4,50,2483.6299999999997,1,2,1,121
12915.0,148,22,363.65,4,3,3,433
12916.0,138,109,2982.3499999999995,3,1,1,311
12917.0,128,2,594.0,3,4,3,343
12919.0,8,52,1301.44,1,2,2,122
12920.0,17,28,164.23000000000002,2,3,4,234
12921.0,3,741,16389.74,1,1,1,111
12922.0,161,28,405.38,4,3,3,433
12923.0,64,29,176.97,3,3,4,334
12924.0,88,31,929.9500000000002,3,3,2,332
12925.0,4,45,694.05,1,2,2,122
12928.0,35,84,2062.7,2,2,1,221
12929.0,122,9,105.1,3,4,4,344
12930.0,78,27,409.9,3,3,3,333
12931.0,21,102,33462.81,2,1,1,211
12933.0,24,107,606.28,2,1,3,213
12935.0,2,130,2156.45,1,1,1,111
12936.0,17,63,1012.9000000000001,2,2,2,222
12937.0,15,120,1504.2700000000002,1,1,2,112
12938.0,25,9,114.13999999999999,2,4,4,244
12939.0,64,47,11581.800000000001,3,2,1,321
12940.0,46,103,876.29,2,1,2,212
12942.0,131,75,683.9000000000001,3,2,2,322
12943.0,301,1,-3.75,4,4,4,444
12944.0,35,30,604.5099999999999,2,3,3,233
12945.0,288,23,462.95000000000005,4,3,3,433
12947.0,143,103,1407.2900000000002,3,1,2,312
12948.0,16,118,2053.7,1,1,1,111
12949.0,30,219,4143.0199999999995,2,1,1,211
12950.0,2,23,1843.0,1,3,1,131
12951.0,8,65,1042.07,1,2,2,122
12952.0,5,80,1382.8400000000001,1,2,2,122
12953.0,9,17,329.85,1,4,3,143
12955.0,1,183,4734.26,1,1,1,111
12956.0,306,19,108.07,4,3,4,434
12957.0,4,244,3979.04,1,1,1,111
12962.0,7,16,266.39,1,4,4,144
12963.0,8,96,1841.0300000000002,1,2,1,121
12965.0,89,109,771.91,3,1,2,312
12966.0,9,10,160.18,1,4,4,144
12967.0,3,33,1194.75,1,3,2,132
12968.0,112,5,135.95,3,4,4,344
12970.0,7,151,452.24000000000007,1,1,3,113
12971.0,3,308,10930.259999999998,1,1,1,111
12974.0,197,8,144.8,4,4,4,444
12976.0,211,22,738.6,4,3,2,432
12977.0,156,9,39.24,4,4,4,444
12980.0,155,24,7092.060000000001,4,3,1,431
12981.0,29,20,372.2199999999999,2,3,3,233
12982.0,239,34,377.20000000000005,4,3,3,433
12984.0,18,4,97.5,2,4,4,244
12985.0,0,78,1215.6200000000001,1,2,2,122
12987.0,73,30,545.0,3,3,3,333
12988.0,292,92,535.3200000000002,4,2,3,423
12989.0,3,68,6854.51,1,2,1,121
12990.0,31,13,409.5000000000001,2,4,3,243
12991.0,23,31,503.76000000000005,2,3,3,233
12993.0,23,27,414.75999999999993,2,3,3,233
12994.0,4,73,902.2199999999999,1,2,2,122
12995.0,77,5,200.72,3,4,4,344
12997.0,22,67,1197.94,2,2,2,222
12999.0,196,28,455.88,4,3,3,433
13000.0,106,31,534.8500000000001,3,3,3,333
13001.0,4,342,9797.92,1,1,1,111
13002.0,318,7,120.94999999999999,4,4,4,444
13003.0,105,6,149.05,3,4,4,344
13004.0,11,409,5613.43,1,1,1,111
13005.0,173,29,468.95000000000005,4,3,3,433
13006.0,56,4,81.57,3,4,4,344
13008.0,323,15,178.47,4,4,4,444
13011.0,372,3,50.550000000000004,4,4,4,444
13012.0,9,107,1311.6200000000003,1,1,2,112
13013.0,1,222,4786.99,1,1,1,111
13014.0,2,124,3365.4300000000003,1,1,1,111
13015.0,53,176,3346.2799999999997,3,1,1,311
13016.0,73,47,789.8899999999999,3,2,2,322
13017.0,7,1,204.0,1,4,4,144
13018.0,16,459,7272.75,1,1,1,111
13021.0,4,134,2584.4,1,1,1,111
13023.0,64,40,689.9000000000001,3,3,2,332
13026.0,1,43,936.1500000000001,1,2,2,122
13027.0,113,26,6912.0,3,3,1,331
13028.0,22,47,659.6800000000001,2,2,2,222
13029.0,30,10,1247.5,2,4,2,242
13030.0,11,99,799.4800000000001,1,2,2,122
13032.0,38,75,996.5200000000002,2,2,2,222
13033.0,357,11,190.54999999999998,4,4,4,444
13034.0,54,37,642.7700000000001,3,3,2,332
13035.0,57,30,886.6299999999999,3,3,2,332
13037.0,138,48,881.07,3,2,2,322
13038.0,80,28,908.46,3,3,2,332
13040.0,8,43,676.99,1,2,2,122
13043.0,253,14,471.57000000000005,4,4,3,443
13044.0,291,33,560.47,4,3,3,433
13045.0,99,18,305.28,3,3,3,333
13046.0,30,35,629.31,2,3,2,232
13047.0,31,196,3079.1,2,1,1,211
13048.0,14,137,1805.9099999999999,1,1,1,111
13049.0,64,14,656.6800000000002,3,4,2,342
13050.0,9,422,5684.61,1,1,1,111
13052.0,212,18,348.15000000000003,4,3,3,433
13055.0,64,78,1201.96,3,2,2,322
13058.0,24,8,271.4,2,4,4,244
13059.0,249,8,183.4,4,4,4,444
13060.0,253,15,307.53000000000003,4,4,3,443
13061.0,72,10,248.61,3,4,4,344
13062.0,191,11,346.98,4,4,3,443
13064.0,12,69,1119.4900000000002,1,2,2,122
13065.0,373,14,205.85999999999999,4,4,4,444
13066.0,24,49,430.9,2,2,3,223
13067.0,82,15,115.46000000000001,3,4,4,344
13068.0,10,2,344.0,1,4,3,143
13069.0,0,470,3717.82,1,1,1,111
13070.0,192,9,228.8,4,4,4,444
13072.0,266,7,177.14999999999998,4,4,4,444
13075.0,129,22,919.6100000000001,3,3,2,332
13077.0,1,112,729.2700000000001,1,1,2,112
13078.0,1,380,12432.28,1,1,1,111
13079.0,4,6,220.09999999999997,1,4,4,144
13080.0,179,6,58.08,4,4,4,444
13081.0,1,1061,27964.48,1,1,1,111
13082.0,126,75,3595.48,3,2,1,321
13083.0,4,18,303.75,1,3,3,133
13085.0,157,29,272.38,4,3,4,434
13089.0,2,1857,57385.88,1,1,1,111
13090.0,8,161,8689.39,1,1,1,111
13091.0,21,24,319.82,2,3,3,233
13092.0,70,26,459.83000000000004,3,3,3,333
13093.0,267,170,7741.47,4,1,1,411
13094.0,21,30,1708.8600000000001,2,3,1,231
13095.0,70,6,74.4,3,4,4,344
13097.0,32,437,5893.32,2,1,1,211
13098.0,1,605,28658.879999999997,1,1,1,111
13099.0,99,1,207.35999999999999,3,4,4,344
13101.0,234,8,101.19,4,4,4,444
13102.0,1,310,6336.29,1,1,1,111
13103.0,39,8,243.94,2,4,4,244
13104.0,3,20,1098.48,1,3,2,132
13106.0,128,2,59.5,3,4,4,344
13107.0,44,60,1524.0700000000004,2,2,1,221
13108.0,372,10,350.05999999999995,4,4,3,443
