Ngày,"Số người tiếp cận được","Tần suất","Chỉ số Signup","CPM (Chi phí trên mỗi 1.000 lần hiển thị)","Số tiền đã chi tiêu (VND)","Số lượt click vào liên kết","Số lần hiển thị","Chi phí tiếp cận 1.000 người","Tương tác với Trang","Lượt tương tác với bài viết","Lượt phát video trong tối thiểu 3 giây","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-12-16,14576,1.0699094401756,355.51219512,43270.08656621,674797,41,15595,46295.0740944,1369,1369,1292,2019-12-16,2019-12-16
2019-12-15,22232,1.3698272759986,213.76923077,58879.42470611,1793114,104,30454,80654.64195754,3078,3078,2885,2019-12-15,2019-12-15
2019-12-14,14520,1.5045454545455,210.43478261,62838.09393024,1372761,69,21846,94542.76859504,2563,2562,2395,2019-12-14,2019-12-14
2019-12-13,3898,1.1998460749102,111.37142857,61073.33760958,285640,35,4677,73278.60441252,1236,1236,1169,2019-12-13,2019-12-13
2019-12-12,2922,1.4616700889802,100.75862069,62274.87707797,265976,29,4271,91025.32511978,1385,1385,1353,2019-12-12,2019-12-12
2019-12-11,2995,1.0691151919866,213.92857143,46052.7795128,147461,14,3202,49235.72621035,712,712,696,2019-12-11,2019-12-11
2019-11-12,6342,1.5993377483444,234.88888889,59399.29015084,602487,27,10143,94999.5269631,651,651,605,2019-11-12,2019-11-12
2019-11-11,3834,1.5753781950965,239.625,78558.2781457,474492,16,6040,123758.99843506,391,391,360,2019-11-11,2019-11-11
2019-11-10,6086,1.571146894512,190.1875,88108.24095378,842491,32,9562,138430.98915544,680,680,627,2019-11-10,2019-11-10
2019-11-09,7034,1.4705715098095,167.47619048,87769.43155452,907887,42,10344,129071.22547626,962,962,893,2019-11-09,2019-11-09
2019-11-08,5732,1.5221563154222,98.82758621,86918.51002865,758364,58,8725,132303.5589672,886,886,797,2019-11-08,2019-11-08
2019-11-03,1095,1.1150684931507,273.75,21242.42424242,25937,4,1221,23686.75799087,308,308,303,2019-11-03,2019-11-03
2019-11-02,4978,1.2750100441945,113.13636364,23310.22530329,147950,44,6347,29720.77139413,1014,1014,962,2019-11-02,2019-11-02
2019-11-01,5884,1.1459891230455,127.91304348,22845.76597953,154049,46,6743,26180.99932019,1225,1225,1169,2019-11-01,2019-11-01
2019-10-31,4915,1.2242115971516,132.83783784,23342.03091241,140449,37,6017,28575.58494405,849,849,802,2019-10-31,2019-10-31
2019-10-30,5398,1.1898851426454,128.52380952,21018.3714775,135001,42,6423,25009.44794368,734,734,689,2019-10-30,2019-10-30
2019-10-18,1195,1.0309623430962,79.66666667,25540.58441558,31466,15,1232,26331.38075314,53,53,38,2019-10-18,2019-10-18
2019-10-14,5162,1.0648973266176,93.85454545,40342.18664726,221761,55,5497,42960.28671058,617,617,553,2019-10-14,2019-10-14
2019-10-13,25344,1.3740924873737,70.59610028,37460.07178751,1304547,359,34825,51473.6032197,3170,3170,2760,2019-10-13,2019-10-13
2019-10-12,24504,1.3251714005877,77.05660377,38436.62232077,1248114,318,32472,50935.11263467,3040,3039,2679,2019-10-12,2019-10-12
2019-10-11,17956,1.3734127868122,54.08433735,50894.65147399,1255113,332,24661,69899.36511472,2870,2870,2479,2019-10-11,2019-10-11
2019-10-10,15736,1.2804397559736,54.07560137,47155.09454564,950128,291,20149,60379.25775292,2047,2047,1686,2019-10-10,2019-10-10
2019-10-09,8728,1.3625114573786,40.22119816,25541.87689203,303744,217,11892,34801.09990834,960,960,737,2019-10-09,2019-10-09
2019-10-08,10076,1.252977371973,44,22994.93069307,290311,229,12625,28812.1278285,1004,1004,762,2019-10-08,2019-10-08
2019-10-07,5142,1.025281991443,85.7,22914.83308042,120807,60,5272,23494.16569428,370,370,306,2019-10-07,2019-10-07
2019-10-02,277,1.0758122743682,138.5,37835.5704698,11275,2,298,40703.97111913,18,18,16,2019-10-02,2019-10-02
2019-10-01,4469,1.5911837100022,62.94366197,28265.92603009,200999,71,7111,44976.28104721,407,407,333,2019-10-01,2019-10-01
2019-09-30,5888,1.4780910326087,92,23005.28553372,200215,64,8703,34003.90625,417,417,352,2019-09-30,2019-09-30
2019-09-12,1682,1.0398335315101,280.33333333,30840.48027444,53940,6,1749,32068.96551724,121,121,113,2019-09-12,2019-09-12
2019-09-11,15051,1.5490000664408,350.02325581,35156.12936433,819630,43,23314,54456.84672115,1129,1129,1065,2019-09-11,2019-09-11
2019-09-10,11580,1.4379101899827,227.05882353,36452.40526095,606969,51,16651,52415.28497409,1062,1062,983,2019-09-10,2019-09-10
2019-09-09,12596,1.3802794537949,220.98245614,60638.32969056,1054258,57,17386,83697.84058431,1111,1111,1036,2019-09-09,2019-09-09
2019-09-08,13632,1.3932658450704,197.56521739,57299.26815142,1088285,69,18993,79833.11326291,1375,1375,1268,2019-09-08,2019-09-08
2019-09-07,22384,1.4175750536097,106.08530806,47300.46326936,1500891,211,31731,67051.95675482,2115,2115,1828,2019-09-07,2019-09-07
2019-09-06,11576,1.3482204561161,87.6969697,26271.99333632,410027,132,15607,35420.43883898,414,414,272,2019-09-06,2019-09-06
2019-08-21,6140,1.4374592833876,107.71929825,77931.90573306,687827,57,8826,112023.94136808,262,262,176,2019-08-21,2019-08-21
2019-08-20,8936,1.4018576544315,146.49180328,78780.55400335,986884,61,12527,110439.12264996,561,561,470,2019-08-20,2019-08-20
2019-08-19,9208,1.6019765421373,164.42857143,81579.28276049,1203376,56,14751,130688.09730669,575,574,469,2019-08-19,2019-08-19
2019-08-18,9112,1.4339332748025,136,79523.64916577,1039056,67,13066,114031.60667252,779,779,673,2019-08-18,2019-08-18
2019-08-17,7364,1.4228680065182,108.29411765,90728.47871731,950653,68,10478,129094.64964693,596,596,503,2019-08-17,2019-08-17
2019-08-16,7330,1.4678035470668,103.23943662,90713.82098708,975990,71,10759,133150.06821282,590,589,460,2019-08-16,2019-08-16
2019-08-15,4577,1.2333406161241,104.02272727,87718.86625332,495173,44,5645,108187.24055058,375,375,290,2019-08-15,2019-08-15
2019-08-11,3872,1.3700929752066,62.4516129,165623.75117813,878634,62,5305,226919.93801653,753,752,665,2019-08-11,2019-08-11
2019-08-10,3146,1.1691036236491,71.5,160617.72702556,590752,44,3678,187778.76668786,496,496,429,2019-08-10,2019-08-10
2019-08-05,568,1.1549295774648,189.33333333,70721.03658537,46393,3,656,81677.81690141,77,77,71,2019-08-05,2019-08-05
2019-08-04,3438,1.2801047120419,122.78571429,102221.76778005,449878,28,4401,130854.56660849,489,488,451,2019-08-04,2019-08-04
2019-08-03,4111,1.2646558015081,128.46875,105941.71956145,550791,32,5199,133979.81026514,575,575,531,2019-08-03,2019-08-03
