Date,CTG,BID,VCB
2020/01/22,25600,55000,94300
2020/01/21,25300,54000,94000
2020/01/20,25100,53300,94000
2020/01/17,24950,53500,94500
2020/01/16,24900,54000,89500
2020/01/15,23600,51000,89300
2020/01/14,23500,50100,89400
2020/01/13,23200,50100,89400
2020/01/10,23550,51300,89500
2020/01/09,22450,49650,88700
2020/01/08,21650,47100,87000
2020/01/07,21700,46700,87800
2020/01/06,21350,45800,87500
2020/01/03,21300,46700,89900
2020/01/02,21500,46900,90800
2019/12/31,20900,46150,90200
2019/12/30,21050,46100,91000
2019/12/27,20650,46200,89700
2019/12/26,20600,44200,88600
2019/12/25,20600,45200,89100
2019/12/24,20600,44900,89200
2019/12/23,20550,44750,90100
2019/12/20,20350,42750,87500
2019/12/19,20150,42200,87200
2019/12/18,20150,42000,85900
2019/12/17,20250,41450,84500
2019/12/16,20300,41900,85200
2019/12/13,20600,41900,87600
2019/12/12,20150,41000,86700
2019/12/11,19850,40100,85100
2019/12/10,20050,39900,84600
2019/12/09,20150,40000,84400
2019/12/06,20300,39650,84100
2019/12/05,20100,40000,84000
2019/12/04,20450,40350,83900
2019/12/03,19600,39700,81200
2019/12/02,19800,39400,82700
2019/11/29,20450,40500,84500
2019/11/28,20450,40650,84500
2019/11/27,21050,40800,85500
2019/11/26,21200,40000,83900
2019/11/25,21150,39700,83700
2019/11/22,21100,40200,84700
2019/11/21,21300,41200,86700
2019/11/20,21300,41550,88700
2019/11/19,21500,41650,90200
2019/11/18,21400,41300,86800
2019/11/15,21700,42000,88900
2019/11/14,21600,42500,90100
2019/11/13,21850,42900,89700
2019/11/12,22000,42100,90900
2019/11/11,21950,41300,90500
2019/11/08,22300,41300,90700
2019/11/07,22250,41600,90500
2019/11/06,22300,40800,90200
2019/11/05,22400,41100,90000
2019/11/04,22450,40800,91200
2019/11/01,22300,39600,88000
2019/10/31,22000,39200,86900
2019/10/30,22150,38800,87000
2019/10/29,22050,39200,85600
2019/10/28,22000,39200,86600
2019/10/25,22000,38800,87200
2019/10/24,21500,38900,86100
2019/10/23,21450,38700,84500
2019/10/22,21600,38600,84600
2019/10/21,21250,37900,83400
2019/10/18,21600,38700,84200
2019/10/17,21900,39400,84400
2019/10/16,21900,39750,85300
2019/10/15,21700,40000,84400
2019/10/14,21700,39750,84200
2019/10/11,21150,39400,84500
2019/10/10,21150,39600,83800
2019/10/09,21300,39850,83700
2019/10/08,20750,39700,84300
2019/10/07,20550,39000,82000
2019/10/04,20600,39100,82200
2019/10/03,21000,39850,81200
2019/10/02,21000,38800,81200
2019/10/01,21300,38600,82600
2019/09/30,21150,38000,81300
2019/09/27,21150,38850,82100
2019/09/26,21150,38750,80200
2019/09/25,20800,38500,79900
2019/09/24,20750,38050,79800
2019/09/23,21000,38250,78200
2019/09/20,21100,38600,80200
2019/09/19,21250,39400,80700
2019/09/18,20800,39750,79800
