Ngày,"Loại kết quả","Kết quả","Tương tác với Trang","Cảm xúc về bài viết","Lượt tương tác với bài viết","Lượt phát 25% thời lượng video","Lượt phát 50% thời lượng video","Lượt phát 75% thời lượng video","Lượt phát 95% thời lượng video","CTR ra ngoài (Tỷ lệ nhấp)","CPC (Chi phí trên mỗi lượt click vào liên kết)","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-11-10,"Khách hàng tiềm năng trên Facebook",4,196,2,196,30,22,11,8,0.24494795,25107.28571429,2019-11-10,2019-11-10
2019-11-09,"Khách hàng tiềm năng trên Facebook",1,373,7,373,43,24,15,12,0.16144656,23789.21052632,2019-11-09,2019-11-09
2019-11-08,"Khách hàng tiềm năng trên Facebook",3,334,6,334,51,30,18,12,0.34234851,12289.70967742,2019-11-08,2019-11-08
2019-10-14,"Khách hàng tiềm năng trên Facebook",6,250,1,250,85,51,41,28,0.56390977,4071.30434783,2019-10-14,2019-10-14
2019-10-13,"Khách hàng tiềm năng trên Facebook",13,1314,24,1314,390,256,152,101,0.4784689,3689.18518519,2019-10-13,2019-10-13
2019-10-12,"Khách hàng tiềm năng trên Facebook",13,1100,11,1100,304,207,132,91,0.55005501,4242.125,2019-10-12,2019-10-12
2019-10-11,"Khách hàng tiềm năng trên Facebook",13,1033,21,1033,319,200,133,89,0.48328635,4416.06481481,2019-10-11,2019-10-11
2019-10-10,"Khách hàng tiềm năng trên Facebook",17,701,15,701,202,134,93,68,0.61422159,4010.76842105,2019-10-10,2019-10-10
2019-09-10,"Khách hàng tiềm năng trên Facebook",,4,,4,,,,,,,2019-09-10,2019-09-10
2019-09-09,"Khách hàng tiềm năng trên Facebook",2,207,7,207,23,8,6,2,0.24183797,40344.08333333,2019-09-09,2019-09-09
2019-09-08,"Khách hàng tiềm năng trên Facebook",3,426,11,426,76,35,16,7,0.34758429,21073.13043478,2019-09-08,2019-09-08
2019-09-07,"Khách hàng tiềm năng trên Facebook",7,637,26,637,97,49,33,24,0.59405941,11278.23255814,2019-09-07,2019-09-07
2019-09-06,"Khách hàng tiềm năng trên Facebook",3,126,3,126,16,10,7,3,0.40816327,12400,2019-09-06,2019-09-06
