Ngày,"Số người tiếp cận được","CPC (Chi phí trên mỗi lượt click vào liên kết)","Tần suất","Số lượt click vào liên kết","Chỉ số Signup","CPM (Chi phí trên mỗi 1.000 lần hiển thị)","Số tiền đã chi tiêu (VND)","CTR (Tỷ lệ nhấp vào liên kết)","Bình luận về bài viết","Số lượt chia sẻ bài viết","Bắt đầu báo cáo","Kết thúc báo cáo"
2019-04-03,6923,633.73226545,1.1246569406327,437,15.84210526,35569.09838171,276941,5.6126380683278,3,5,2019-04-03,2019-04-03
2019-03-11,9027,650.11971831,1.0938296222444,426,21.19014085,28048.51124164,276951,4.3143609479441,2,2,2019-03-11,2019-03-11
2019-10-13,25344,3633.8356546,1.3740924873737,359,70.59610028,37460.07178751,1304547,1.0308686288586,2,5,2019-10-13,2019-10-13
2019-10-11,17956,3780.46084337,1.3734127868122,332,54.08433735,50894.65147399,1255113,1.346255220794,2,5,2019-10-11,2019-10-11
2019-10-12,24504,3924.88679245,1.3251714005877,318,77.05660377,38436.62232077,1248114,0.97930524759793,3,3,2019-10-12,2019-10-12
2019-05-28,7266,833.68707483,1.2969997247454,294,24.71428571,26008.48896435,245104,3.1196943972835,,2,2019-05-28,2019-05-28
2019-10-10,15736,3265.04467354,1.2804397559736,291,54.07560137,47155.09454564,950128,1.4442404089533,4,4,2019-10-10,2019-10-10
2019-10-08,10076,1267.73362445,1.252977371973,229,44,22994.93069307,290311,1.8138613861386,2,1,2019-10-08,2019-10-08
2019-10-09,8728,1399.74193548,1.3625114573786,217,40.22119816,25541.87689203,303744,1.8247561385806,,,2019-10-09,2019-10-09
2019-09-07,22384,7113.22748815,1.4175750536097,211,106.08530806,47300.46326936,1500891,0.66496486086162,8,3,2019-09-07,2019-09-07
2019-05-29,8772,1261.86138614,1.0911992704058,202,43.42574257,26629.33556206,254896,2.1103217718345,3,4,2019-05-29,2019-05-29
2019-03-12,4187,643.45744681,1.0463338906138,188,22.2712766,27612.41725633,120970,4.2912577037206,1,1,2019-03-12,2019-03-12
2019-09-06,11576,3106.26515152,1.3482204561161,132,87.6969697,26271.99333632,410027,0.8457743320305,2,1,2019-09-06,2019-09-06
2019-07-25,5577,7691.92727273,1.4762417070109,110,50.7,102770.80043727,846112,1.3360864812341,3,,2019-07-25,2019-07-25
2019-07-27,7054,9513.93269231,1.4024666855685,104,67.82692308,100015.06115435,989449,1.0512483574244,2,,2019-07-27,2019-07-27
2019-12-15,22240,17245.125,1.3697392086331,104,213.84615385,58874.47066934,1793493,0.34139776121853,1,5,2019-12-15,2019-12-15
2019-07-26,6868,10353.27,1.4918462434479,100,68.68,101046.94514933,1035327,0.97599063048995,1,,2019-07-26,2019-07-26
2019-07-28,7045,12283.19512195,1.4894251242016,82,85.91463415,95989.89802726,1007222,0.78147336319451,1,2,2019-07-28,2019-07-28
2019-05-12,9647,28643.17333333,1.4127708095781,75,128.62666667,157622.56952088,2148238,0.55029716046665,,,2019-05-12,2019-05-12
