Date,Open,High,Low,Close,Volume
3/3/2020,895.39,896.39,890.06,890.61,212740313
3/2/2020,878.43,886.45,877.31,884.43,206634751
2/28/2020,885.47,887.07,872.46,882.19,241893421
2/27/2020,892.15,899.34,889.14,898.44,163286587
2/26/2020,901.51,903.27,894.25,895.97,142582255
2/25/2020,893.95,909.67,893.95,909.67,221123293
2/24/2020,917.49,917.49,903.34,903.34,291882482
2/21/2020,938.13,940.53,932.32,933.09,206753001
2/20/2020,933.69,938.13,930.41,938.13,198339933
2/19/2020,926.41,931.66,925.86,928.76,192170084
2/18/2020,934.47,934.98,926.01,927.93,187757536
2/17/2020,938.52,938.52,931.66,934.77,183245052
2/14/2020,939.28,940.65,936.47,937.45,204351144
2/13/2020,937.19,939.1,934.47,938.24,177733077
2/12/2020,940.72,943.11,937.34,937.68,228035142
2/11/2020,930.73,936.04,930.73,934.67,179353088
2/10/2020,934.38,935.87,926.61,930.73,153967122
2/7/2020,938.61,943.48,935.94,940.75,194165341
2/6/2020,926.66,938.54,925.21,938.54,223668081
2/5/2020,934.75,936.33,921.89,925.91,197383745
2/4/2020,929.42,934.91,919.33,929.09,197685137
2/3/2020,916.6,930.37,891.85,928.14,275517985
1/31/2020,959.58,960.96,936.62,936.62,253944680
1/30/2020,975.15,977.72,954,959.58,198514398
1/22/2020,986.52,991.46,983.92,991.46,152345085
1/21/2020,978.82,986.37,978.82,986.37,157666151
1/20/2020,978.23,979.85,975.93,978.63,148803681
1/17/2020,976.28,980.02,973.79,978.96,164136095
1/16/2020,967.2,974.7,967.17,974.31,201250786
1/15/2020,967.69,967.69,964.84,967.56,150040543
1/14/2020,966.26,968.85,965.76,967,190348503
1/13/2020,966.89,968.63,964.79,965.84,147147791
1/10/2020,961.17,969.71,961.17,968.54,222154568
1/9/2020,953.86,960.73,952.16,960.15,166147392
1/8/2020,954.13,955.84,945.28,948.98,319165887
1/7/2020,955.79,959.46,953.19,958.88,181625538
1/6/2020,962.79,963.2,955.59,955.79,187204339
1/3/2020,968.72,970.88,965.14,965.14,174128840
1/2/2020,960.26,966.67,959.67,966.67,200601631
12/31/2019,965.71,965.71,958.22,960.99,185242663
12/30/2019,962.89,967.52,962.47,965.03,177740545
12/27/2019,957.7,963.51,954.19,963.51,180524101
12/26/2019,960.67,962.11,957.43,958.59,265937347
12/25/2019,958.18,962.83,957.5,960.92,238316843
12/24/2019,959.43,959.43,953.29,958.88,229674422
12/23/2019,959.55,960.71,958.07,959.43,241524335
12/20/2019,953.55,957.52,952.71,956.41,243332885
